,0,1,2,3,4,5,6,7,8,9,10,11
25,1654346700000,29556.46000000,29578.64000000,29516.01000000,29538.00000000,254.57740000,1654347599999,7522715.47943720,6350,115.22219000,3404713.92909710,0
26,1654347600000,29538.00000000,29654.52000000,29522.99000000,29600.00000000,390.52971000,1654348499999,11559384.20377460,7774,233.99974000,6926397.16315490,0
27,1654348500000,29600.00000000,29642.78000000,29558.29000000,29642.77000000,284.71533000,1654349399999,8427338.94496610,6501,133.05509000,3939284.77064050,0
28,1654349400000,29642.77000000,29642.78000000,29596.65000000,29604.71000000,124.45299000,1654350299999,3686054.05096140,4826,51.83816000,1535265.82554110,0
29,1654350300000,29604.70000000,29604.71000000,29575.96000000,29596.11000000,161.03659000,1654351199999,4765258.80426130,5369,78.59945000,2325914.78242570,0
30,1654351200000,29596.11000000,29604.69000000,29485.00000000,29541.20000000,403.00472000,1654352099999,11898343.41543020,8958,148.33132000,4378437.19607660,0
31,1654352100000,29541.20000000,29781.71000000,29531.17000000,29737.11000000,746.39918000,1654352999999,22148302.12680950,11769,486.09615000,14424183.53639180,0
32,1654353000000,29737.11000000,29988.88000000,29674.61000000,29772.13000000,1325.50797000,1654353899999,39527418.45716130,19743,720.77560000,21501192.97384560,0
33,1654353900000,29772.13000000,29826.52000000,29746.16000000,29777.32000000,319.85076000,1654354799999,9528005.98606310,8196,141.21782000,4206549.35461560,0
34,1654354800000,29777.31000000,29843.68000000,29758.31000000,29804.70000000,392.14390000,1654355699999,11685860.80884400,7597,227.40596000,6776867.51712900,0
35,1654355700000,29804.70000000,29884.99000000,29750.29000000,29860.92000000,438.88015000,1654356599999,13083358.73803090,8547,249.25193000,7430287.36849430,0
36,1654356600000,29860.93000000,29888.01000000,29802.53000000,29806.00000000,339.59028000,1654357499999,10134613.05615960,8152,168.01349000,5013925.94010900,0
37,1654357500000,29805.99000000,29858.80000000,29795.55000000,29858.80000000,322.09393000,1654358399999,9609018.63273050,6888,191.68478000,5718787.89331640,0
38,1654358400000,29858.79000000,29858.80000000,29795.94000000,29808.01000000,338.93611000,1654359299999,10108050.80990670,7341,135.69318000,4046841.18572940,0
39,1654359300000,29808.01000000,29827.89000000,29770.89000000,29774.33000000,191.27413000,1654360199999,5698902.65841410,5990,94.01405000,2801233.52456500,0
40,1654360200000,29774.32000000,29796.26000000,29760.00000000,29785.02000000,269.90199000,1654361099999,8037386.58338870,5334,180.37104000,5371381.25431000,0
41,1654361100000,29785.01000000,29787.83000000,29747.63000000,29751.41000000,338.37552000,1654361999999,10070829.92657570,5270,143.55905000,4272915.35321490,0
